timestamp,pressure,temperature,altitude,ASMaccelX,ASMaccelY,ASMaccelZ,ASMgyrX,ASMgyrY,ASMgyrZ,ICMaccelX,ICMaccelY,ICMaccelZ,ICMgyrX,ICMgyrY,ICMgyrZ,ICMmagX,ICMmagY,ICMmagZ,ICMtemp,lat,lon,altMSL,altEll,ecefX,ecefY,ecefZ,velN,velE,velD,epochTime,satellites,gpsLockType,w,i,j,k,posX,posY,posZ,velX,velY,velZ
1092,1004.7659,25.9000,70.8644,0.017,-0.089,1.009,1.120,0.910,-0.140,-0.0132,-0.0977,0.9956,-0.0170,-0.0021,-0.0085,11.4000,65.7000,82.8000,29.3386,422809224,-718068266,183.839,150.454,6149,794181724,0,-46,-148,-57,1749056603,16,3,,,,,,,,,,
1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,1004.7661,25.8900,70.8624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0327,0.7538,0.6552,0.0371,,,,,,
1126,,,,,,,,,,-0.0063,-0.0967,1.0156,-0.0192,-0.0085,-0.0021,11.2500,66.7500,83.2500,29.4823,,,,,,,,,,,,,,,,,,,,,,,
1136,1004.7661,25.8900,70.8624,0.017,-0.089,1.009,1.120,0.910,-0.210,,,,,,,,,,,422809224,-718068266,183.839,150.454,6149,794181724,0,-46,-148,-57,1749056603,16,3,0.0330,0.7538,0.6552,0.0372,-667872320.0000,-298562272.0000,2186848.0000,136.8489,59.8594,ovf
1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,1004.7983,25.9000,70.5923,,,,,,,-0.0039,-0.1025,1.0210,-0.0170,-0.0043,-0.0053,10.0500,66.3000,84.7500,29.1948,,,,,,,,,,,,,,,,,,,,,,,
1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0332,0.7538,0.6553,0.0373,106242648.0000,-670204224.0000,-487576928.0000,ovf,ovf,ovf
1176,1004.7749,25.9000,70.7887,0.017,-0.089,1.009,1.050,0.840,-0.140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,,,,,,,,,,-0.0068,-0.0962,1.0171,-0.0202,-0.0032,-0.0021,11.2500,61.8000,76.9500,29.1948,,,,,,,,,,,,,,0.0334,0.7537,0.6553,0.0374,-670837248.0000,-744465216.0000,425004992.0000,ovf,-388623552.0000,ovf
